,loss,accuracy,val_loss,val_accuracy,lr
0,0.3126696050167084,0.8791254758834839,0.31813815236091614,0.8806574940681458,0.001
1,0.19915172457695007,0.9190037250518799,1.3130528926849365,0.5360859036445618,0.001
2,0.17755521833896637,0.9272733926773071,0.20784755051136017,0.9254453778266907,0.001
3,0.16595716774463654,0.932094156742096,0.8733569979667664,0.5834406614303589,0.001
4,0.1529034674167633,0.9372450113296509,0.13727682828903198,0.9465833306312561,0.001
5,0.14539410173892975,0.9400051832199097,0.1795920729637146,0.9226361513137817,0.001
6,0.13852977752685547,0.9431347250938416,0.6859025359153748,0.577012836933136,0.001
7,0.13334764540195465,0.9450231790542603,0.12627644836902618,0.9500941634178162,0.001
8,0.12899081408977509,0.9465869665145874,0.21057401597499847,0.9463421702384949,0.001
9,0.1255708932876587,0.9481102824211121,0.13153837621212006,0.9519849419593811,0.001
10,0.1233910471200943,0.9490658044815063,0.10521796345710754,0.9582810997962952,0.001
11,0.12088137865066528,0.9498046636581421,1.182121753692627,0.5656740665435791,0.001
12,0.11936447024345398,0.9507175087928772,0.11321620643138885,0.9547798037528992,0.001
13,0.11418119817972183,0.9527451395988464,0.14099682867527008,0.9547476768493652,0.001
14,0.10450199991464615,0.9572022557258606,0.10897678136825562,0.9593620300292969,0.000100000005
15,0.10319142043590546,0.9577760696411133,0.11301528662443161,0.9588968753814697,0.000100000005
16,0.10259054601192474,0.9580503106117249,0.10611707717180252,0.9598730206489563,0.000100000005
17,0.10112250596284866,0.9587384462356567,0.10706771910190582,0.9598843455314636,1.0000001e-05
18,0.10094232112169266,0.9588172435760498,0.10777521133422852,0.9597843289375305,1.0000001e-05
19,0.10086328536272049,0.9588462710380554,0.1074715405702591,0.9599254131317139,1.0000001e-05
20,0.10067115724086761,0.9589344263076782,0.10864722728729248,0.9597364068031311,1.0000001e-06
