,loss,accuracy,val_loss,val_accuracy,lr
0,0.3069078028202057,0.8811022639274597,0.8076239824295044,0.7953194379806519,0.001
1,0.19815067946910858,0.9191177487373352,0.1817760467529297,0.9290841817855835,0.001
2,0.1714869886636734,0.9293115735054016,0.15692277252674103,0.9391617178916931,0.001
3,0.15497606992721558,0.9359866380691528,0.18261779844760895,0.9276427626609802,0.001
4,0.14224214851856232,0.9410501718521118,0.36439061164855957,0.7886930704116821,0.001
5,0.13326168060302734,0.9444137811660767,0.126825749874115,0.9499538540840149,0.001
6,0.12483299523591995,0.9479215741157532,0.12462982535362244,0.9497144818305969,0.001
7,0.11634035408496857,0.9514829516410828,0.19100812077522278,0.952811062335968,0.001
8,0.11479547619819641,0.9521298408508301,0.14695808291435242,0.9499441385269165,0.001
9,0.10958273708820343,0.9541338086128235,0.11492062360048294,0.9520500302314758,0.001
10,0.10270700603723526,0.9569418430328369,0.24232254922389984,0.893943190574646,0.001
11,0.09878930449485779,0.9585428237915039,0.09706678241491318,0.9602746963500977,0.001
12,0.09714081883430481,0.9592428803443909,0.17302505671977997,0.9341074824333191,0.001
13,0.0911455750465393,0.9616830348968506,0.10536081343889236,0.9559321403503418,0.001
14,0.08568911254405975,0.9639238119125366,0.08654636144638062,0.9656481742858887,0.001
15,0.08730477094650269,0.9633053541183472,0.11315502226352692,0.9562591910362244,0.001
16,0.08159229904413223,0.9656833410263062,0.08110933005809784,0.9682984948158264,0.001
17,0.0798465758562088,0.9663748741149902,0.08364477008581161,0.9659035801887512,0.001
18,0.07688335329294205,0.9675235152244568,0.10913105309009552,0.9537650942802429,0.001
19,0.07588432729244232,0.9680094122886658,0.10780830681324005,0.9529725909233093,0.001
20,0.06808201223611832,0.9716313481330872,0.07729179412126541,0.9668086171150208,0.000100000005
21,0.06481792777776718,0.9729467034339905,0.07603607326745987,0.9697768092155457,0.000100000005
22,0.06387963891029358,0.9733202457427979,0.07352865487337112,0.9718070030212402,0.000100000005
23,0.06336692720651627,0.9735426902770996,0.07615876942873001,0.9711557030677795,0.000100000005
24,0.0626460537314415,0.9738049507141113,0.07337214052677155,0.9718413352966309,0.000100000005
